chain,cik,org,n_events,dates,types,variants,details_first,PROPOSED,rule
CH-01,20520,"Frontier Communications Parent, Inc.",2,"2024-04-13, 2024-04-14",HACK,"Frontier Communications Parent, Inc. || Frontier Communications Parent, Inc.","The Maine Office of the Attorney General reported a data breach involving Frontier Communications Parent, Inc.",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-02,20520,"Frontier Communications Parent, Inc.",2,"2024-06-10, 2024-06-12",HACK,"Frontier Communications Parent, Inc. || Frontier Communications Parent, Inc.","The Texas Attorney General reported a data breach involving Frontier Communications Parent, Inc. on June 10, 2",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-03,43196,Gray Television,3,"2016-08-08, 2016-08-10, 2016-08-12",PORT,"Gray Television || Gray Television Inc || Gray Television, Inc.","The Maine Office of the Attorney General reported a data breach involving Gray Television on August 31, 2016. ",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-04,90143,Sierra Pacific Industries,2,"2022-06-10, 2022-06-11",HACK,Sierra Pacific Industries || Sierra Pacific Industries,The Maryland Office of the Attorney General reported a data breach involving Sierra Pacific Industries on Janu,COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-05,91440,Snap-on Incorporated,2,"2022-03-01, 2022-03-03",HACK,"Snap-on Incorporated | Snap-on, Inc. || Snap-on Incorporated","The Maine Office of the Attorney General reported a data breach involving Snap-on, Inc. on April 7, 2022. The ",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-06,732712,Verizon Communications Inc.,2,"2024-02-06, 2024-02-09",HACK+INSD,Verizon Communications Inc. || Verizon Communications Inc.,"On February 6, 2024, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data brea",FLAG - SITTING,"Breach types conflict within chain (['HACK', 'INSD']); public-record test applies."
CH-07,732717,AT&T Inc,2,"2024-04-09, 2024-04-10",HACK,AT&T Inc || AT&T Inc.,"The Indiana Office of the Attorney General reported on April 9, 2024, that AT&T Inc experienced a data breach ",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-08,896878,Intuit Inc.,2,"2015-12-07, 2015-12-08",INSD,Intuit Inc. || Intuit,"The Massachusetts Office of Consumer Affairs and Business Regulation reported on December 7, 2015, that Intuit",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-09,896878,Intuit Inc,3,"2016-02-29, 2016-03-01, 2016-03-03",HACK+INSD,Intuit Inc || Intuit Inc. || Intuit Inc,"The Indiana Office of the Attorney General reported a data breach involving Intuit Inc. on March 16, 2016. The",FLAG - SITTING,"Breach types conflict within chain (['HACK', 'INSD']); public-record test applies."
CH-10,896878,"Intuit, Inc.",3,"2016-03-07, 2016-03-08, 2016-03-09",HACK+INSD,"Intuit, Inc. || Intuit Inc || Intuit","The New Hampshire Attorney General's Office reported on April 1, 2016, that Intuit Inc. experienced unauthoriz",FLAG - SITTING,"Breach types conflict within chain (['HACK', 'INSD']); public-record test applies."
CH-11,896878,Intuit Inc.,2,"2016-03-22, 2016-03-23",HACK,"Intuit Inc. || Intuit, Inc.","The Indiana Office of the Attorney General reported a data breach involving Intuit Inc on April 28, 2016. The ",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-12,896878,Intuit Inc,2,"2016-03-29, 2016-04-01",HACK,Intuit Inc || Intuit Inc.,"The Indiana Office of the Attorney General reported a data breach involving Intuit Inc on October 17, 2016. Th",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-13,896878,Intuit,2,"2016-04-29, 2016-05-02",HACK,Intuit || Intuit Inc.,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit o,COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-14,896878,Intuit,2,"2017-01-27, 2017-01-30",HACK,Intuit || Intuit Inc.,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Intuit o,COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-15,896878,Intuit Inc.,2,"2017-02-28, 2017-03-02",HACK,"Intuit | Intuit Inc. || Intuit, Inc.","On March 17, 2017, the New Hampshire Attorney General reported a data breach involving Intuit Inc. The breach,",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-16,896878,"Intuit, Inc.",2,"2017-04-02, 2017-04-04",HACK,"Intuit, Inc. || Intuit","The Indiana Office of the Attorney General reported that IntuitInc experienced a data breach on April 2, 2017,",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-17,896878,Intuit Inc,2,"2017-04-17, 2017-04-19",HACK,Intuit Inc || Intuit Inc.,"The Indiana Office of the Attorney General reported that Intuit Inc experienced a data breach on April 17, 201",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-18,896878,"Intuit, Inc.",2,"2017-07-30, 2017-08-01",HACK,"Intuit, Inc. || Intuit Inc.","The Indiana Office of the Attorney General reported that IntuitInc experienced a data breach on July 30, 2017,",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-19,896878,"Intuit, Inc.",2,"2019-01-29, 2019-01-30",HACK,"Intuit, Inc. || Intuit Inc.","The Indiana Office of the Attorney General reported a data breach involving Intuit Inc. on February 26, 2019. ",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-20,896878,"Intuit, Inc.",2,"2019-02-21, 2019-02-22",HACK,"Intuit, Inc. || Intuit Inc.","The Indiana Office of the Attorney General reported on March 12, 2019, that Intuit Inc. experienced a data bre",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-21,917524,TALX Corporation,2,"2016-01-01, 2016-01-04",HACK,TALX Corporation || TALX Corporation,"On May 15, 2017, the Iowa Attorney General's Office reported a data breach involving TALX Corporation, a subsi",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-22,1001082,"DISH Network, LLC",2,"2023-02-22, 2023-02-23",HACK,"DISH Network L.L.C. | DISH Network, LLC || DISH Network Corporation | DISH Network, LLC","The California Office of the Attorney General reported a data breach at DISH Network L.L.C. on May 18, 2023. T",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-23,1060391,Republic Services,2,"2013-08-10, 2013-08-11",PORT,Republic Services || Republic Services,"On August 26, 2013, the New Hampshire Department of Justice reported that Republic Services experienced a data",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-24,1060391,"Republic Services, Inc.",2,"2019-02-01, 2019-02-02",HACK,"Republic Services, Inc. || Republic Services, Inc","The Maryland Office of the Attorney General reported a data breach involving Republic Services, Inc. on Septem",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-25,1136893,"Fidelity National Information Services, Inc.",3,"2023-05-27, 2023-05-29, 2023-05-31",HACK,"Fidelity National Information Services, Inc. || Fidelity National Information Services, Inc. || Fidelity National Information Services, Inc.","The Oregon Department of Justice reported that Fidelity National Information Services, Inc. experienced a data",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-26,1136893,"Fidelity National Information Services, Inc.",2,"2023-10-04, 2023-10-06",HACK,"Fidelity National Information Services, Inc. || Fidelity National Information Services, Inc.","On October 4, 2023, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breac",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-27,1283699,"T-Mobile USA, Inc.",2,"2009-10-05, 2009-10-08",HACK+PHYS,"T-Mobile USA, Inc. || T-Mobile","On October 5, 2009, the Massachusetts Office of Consumer Affairs and Business Regulation reported a data breac",FLAG - SITTING,"Breach types conflict within chain (['HACK', 'PHYS']); public-record test applies."
CH-28,1283699,"T-Mobile USA, Inc.",2,"2015-09-14, 2015-09-15",HACK,"T-Mobile USA | T-Mobile USA Inc. | T-Mobile USA, Inc. || T-Mobile USA, Inc.","The California Office of the Attorney General reported on October 1, 2015, that T-Mobile USA, Inc. experienced",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-29,1283699,T-Mobile USA,2,"2021-08-17, 2021-08-18",HACK,"T-Mobile USA | T-Mobile USA, Inc. || T-Mobile USA","The Maryland Office of the Attorney General reported on August 19, 2021, that T-Mobile USA experienced a data ",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-30,1609711,GoDaddy.com LLC,2,"2019-10-16, 2019-10-19",HACK,GoDaddy.com LLC || GoDaddy.com LLC,"The California Office of the Attorney General reported on May 17, 2023, that GoDaddy.com LLC experienced a dat",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-31,1673769,"IMA Financial Group, Inc.",2,"2022-10-18, 2022-10-19",HACK,"IMA Financial Group, Inc. || IMA Financial Group, Inc.","The Maine Office of the Attorney General reported a data breach involving IMA Financial Group, Inc. on July 6,",COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
CH-32,1702780,Altice USA,2,"2024-02-29, 2024-03-01",HACK,Altice USA || Altice USA,The Massachusetts Office of Consumer Affairs and Business Regulation reported a data breach involving Altice U,COLLAPSE (proposed),"Rolling-campaign/near-duplicate rule: same firm, same type, <=3-day gaps. Record-count differences are NOT a distinctness signal (state-resident counts)."
