org_name,n_records,normalized,legacy_cik,resolved_cik,method,grade,legacy_vs_resolved,evidence
A&A Services,2,A A SERVICES,1136893,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
A.Y. McDonald Industries Inc.,1,A Y MCDONALD INDUSTRIES,63908,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
ABM Industries Incorporated,4,ABM INDUSTRIES,1324404,771497.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: ABM INDUSTRIES INC
"ADF International, Inc.",2,ADF INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"AGE Industries, Ltd.",1,AGE INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"API Financial Solutions, Inc.",1,API FINANCIAL SOLUTIONS,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
ASAP Semiconductor LLC,3,ASAP SEMICONDUCTOR,1097864,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
ASIS International,2,ASIS INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
AT&T,13,AT T,732717,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 5907 (AMERICAN TELEPHONE & TELEGRAPH CO) | 732717 (AT&T INC., T) || legacy ticker: T"
AT&T Inc,1,AT T,732717,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 5907 (AMERICAN TELEPHONE & TELEGRAPH CO) | 732717 (AT&T INC., T) || legacy ticker: T"
AT&T Inc.,10,AT T,732717,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 5907 (AMERICAN TELEPHONE & TELEGRAPH CO) | 732717 (AT&T INC., T) || legacy ticker: T"
AT&T Services,1,AT T SERVICES,732717,732717.0,REASONING_HIGH,VERIFIED-REASONING,SAME,SEC EDGAR: AT&T Services operating subsidiary | EDGAR-confirmed
AT&T Services Inc.,1,AT T SERVICES,732717,732717.0,REASONING_HIGH,VERIFIED-REASONING,SAME,SEC EDGAR: AT&T Services variant | EDGAR-confirmed
"AT&T Services, Inc.",7,AT T SERVICES,732717,732717.0,REASONING_HIGH,VERIFIED-REASONING,SAME,SEC EDGAR: AT&T Services is operating subsidiary of AT&T Inc. | EDGAR-confirmed
"AT&T, Inc.",1,AT T,732717,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 5907 (AMERICAN TELEPHONE & TELEGRAPH CO) | 732717 (AT&T INC., T) || legacy ticker: T"
ATT-Breach Notification,2,ATT BREACH NOTIFICATION,732717,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
ATT-SecurityBreach,1,ATT SECURITYBREACH,732717,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
ATT-SecurityBreach2,1,ATT SECURITYBREACH2,732717,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Activision Publishing, Inc.",2,ACTIVISION PUBLISHING,718877,1870564.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: ACTIVISION PUBLISHING, INC."
Adobe Systems Incorporated,3,ADOBE SYSTEMS,796343,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 714164 (ADOBE SYSTEMS LTD) | 796343 (ADOBE INC., ADBE) || legacy ticker: ADBE"
"Advanced Mobile Notary, LLC",1,ADVANCED MOBILE NOTARY,1283699,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Aero Charter, Inc.",1,AERO CHARTER,1091667,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
AeroGrow International,1,AEROGROW INTERNATIONAL,5272,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 1272660 (AEROGROW  INTERNATIONAL INC) | 1316644 (AEROGROW INTERNATIONAL, INC.) | 1334121 (AEROGROW INTERNATIONAL INC) || legacy ticker: AIG"
"AeroGrow International, Inc.",1,AEROGROW INTERNATIONAL,5272,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 1272660 (AEROGROW  INTERNATIONAL INC) | 1316644 (AEROGROW INTERNATIONAL, INC.) | 1334121 (AEROGROW INTERNATIONAL INC) || legacy ticker: AIG"
Aladdin Capital,1,ALADDIN CAPITAL,927628,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1059126 (ALADDIN CAPITAL CORP) | 1102487 (ALADDIN CAPITAL LLC) || legacy ticker: COF
"Allied-Locke Industries, Inc.",2,ALLIED LOCKE INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Alpha & Omega Semiconductor,1,ALPHA OMEGA SEMICONDUCTOR,1097864,1387467.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: ALPHA & OMEGA SEMICONDUCTOR LTD
Altice USA,2,ALTICE USA,1702780,1702780.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: ALTICE USA, INC."
