proxy_date,accession,pay_link,terms,sentence
2013-05-17,0001193125-13-226248,False,data,"Kelton held executive posts with Asia Global Crossing Limited, a telecommunications company, and Saturn Global Network Services Holdings Limited, an international provider of end-to-end managed voice and data services."
2013-05-17,0001193125-13-226248,False,data,"He has served on the boards of Rogers Wireless in Canada, Switch & Data Corporation, and a number of technology start-ups."
2013-05-17,0001193125-13-226248,False,data,"Our Compensation Principles and Practices Use of Competitive Data The primary principle and objective of our compensation program is to align strategic goals of management and stockholders by motivating and rewarding executive officers on a pay for performance basis through a market-competitive pay package, which is derived from short and long term targeted performance measurements and objectives of the Company."
2013-05-17,0001193125-13-226248,False,data,"As a check against, and to supplement the peer group data, the Company also reviews each executive officer position with respect to the compensation databases of telecommunications companies and for comparable positions in comparably sized organizations, as well as the relationship, duties, and importance of each officer to the Company."
2013-05-17,0001193125-13-226248,False,data,The Compensation Committee uses the market data derived from the peer group and the compensation databases as a guide in establishing the total compensation for each executive officer.
2013-05-17,0001193125-13-226248,False,data,"However, we use the market data only as a check and guide and we independently view the total compensation of each executive officer against other officers and the relative duties and importance of the executive officer to the Company."
2013-05-17,0001193125-13-226248,False,data,We used the following market data as a guide in establishing our total compensation program for 2012.
2013-05-17,0001193125-13-226248,False,data,"The market data was derived from the available Proxy Statement filings as of October 2011 from the listed public wireless telecommunications companies, representing our 2012 peer group, which we believe are comparable to us based on an estimated median full year gross revenue of $3.8 billion for 2011 and a median market capitalization of $3.5 billion as of October 27, 2011:"
2013-05-17,0001193125-13-226248,False,data,"Published survey data include surveys focused on the communications industry, including Mercer Benchmark Survey and Mercer Telecom Industry Survey, and was used primarily for those executive officer positions with insufficient peer proxy data."
2013-05-17,0001193125-13-226248,False,data,"Tellabs Crown Castle International Corp Time Warner Cable DirectTV T-Mobile USA Dish Network United States Cellular Corporation Echostar Corporation Verizon Communications FPL Fibernet Verizon Wireless Integra Telecom Vonage Holdings Corporation -42- Table of Contents For 2012, in order to properly analyze the industry data, the Company analyzed for each executive the compensation data gathered by the Company and the compensation consultants."
2013-05-17,0001193125-13-226248,False,data,Market comparisons for the NEOs focused on peer group comparisons that were supplemented with published survey data only when there was insufficient peer group comparison data.
2013-05-17,0001193125-13-226248,False,data,"We believe our executive compensation program is appropriate when considering our business strategy, our compensation philosophy, the competitive market pay data, the competitiveness of the wireless industry and the significant growth that we have achieved year over year."
2013-05-17,0001193125-13-226248,False,data,"Provides benefits to meet the health and welfare needs of employees and their families. -47- Table of Contents Base Salary Our executive officers, including the Named Executive Officers, are assigned to pay grades determined by comparing position-specific duties and responsibilities with the market pay data and the Company’s internal structure."
2013-05-17,0001193125-13-226248,False,data,"Based on its review of competitive market data, including peer group data, internal comparators among the officer positions, and other information management recommends to the Compensation Committee a salary target centered around the median market amount."
2013-05-17,0001193125-13-226248,True,data,This increase was driven by an increase in the percentage of base salary of the peer group and the other market data used by the Company. 2012 Performance We believe that attainment of payments under our annual cash performance award plan requires strong Company performance.
2013-05-17,0001193125-13-226248,True,data,We select the amount of the award based on the long-term component of the competitive market data established through the peer group and selected other survey data.
2014-04-24,0001193125-14-157312,False,data,"A stockholder who wishes to suggest a director candidate for consideration by the Nominating and Corporate Governance Committee should submit the suggestion to the Chair of the Nominating and Corporate Governance Committee, care of our Corporate Secretary, and include the candidate’s name, biographical data, relationship to the stockholder and other relevant information."
2014-04-24,0001193125-14-157312,False,data,"Peer Group Total Shareholder Return: 5/1/2013 through 12/31/2013 (1), (2), (3) (1) Data represents closing prices as of May 1, 2013 and December 31, 2013, assuming re-investment of dividends, as reported from Equilar Corporate Governance Database."
2014-04-24,0001193125-14-157312,False,data,We use comparative executive officer compensation data from a peer group of public companies to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly-hired executive officers.
2014-04-24,0001193125-14-157312,False,data,We do not target a specific position in the range of comparative data for each individual or for each component of compensation.
2014-04-24,0001193125-14-157312,True,data,"In determining the amount of base salary, target incentive award and level of equity compensation for each Named Executive Officer, we review the comparative compensation data provided by the compensation consultant and consider each executive’s level of responsibility, prior experience, past job performance, contribution to the Company’s success, and capability and results achieved."
