final_cik,org_name,treated_events,name_variants,evidence,all_events,treated,control_events_same_cik,clause
1283699,"T-Mobile USA, Inc.",26,7,"Clause (a) adjudicated 8/4: active open registry record ""T-Mobile USA, Inc.- CONSOLIDATED"" (499ID 822060, dba T-Mobile, start 1997, no end) — the ""- CONSOLIDATED"" suffix defeats exact matching for USA/US name variants (Cricket precedent, family-wide)",26,26,0,clause 1 (direct registry match)
732717,AT&T,24,7,"Clause (a): registry match ""AT&T"" [dba] -> AT&T Enterprises, LLC (FRN 0005937974, start 1997-01-01, end none)",26,24,2,clause 1 (direct registry match)
101830,Sprint Corporation,12,3,"Clause (a) adjudicated 8/4: Sprint Spectrum LLC dba Sprint (499ID 811754, coverage 1997-2024-12-31, replacement 822060) covers all Sprint-family breach dates; dba/suffix variants defeat exact matching",12,12,0,clause 1 (direct registry match)
732712,Verizon,10,3,"Clause (a) adjudicated 8/4: Verizon carrier filer family (e.g., Verizon-NY FRN 0003469442 through 2021; successor consolidated records active after) — consolidation naming defeats exact matching post-2021",11,10,1,clause 1 (direct registry match)
1166691,Comcast Cable Communications LLC,9,4,Clause (b): parent brand of Comcast Telephony filers (7/28),12,9,3,clause 2 (adjudicated to treated)
1091667,"Charter Communications, Inc.",8,3,Clause (b): parent brand of Charter Communications Operating LLC (7/28),8,8,0,clause 2 (adjudicated to treated)
18926,CenturyLink,5,3,Clause (b): CenturyLink/Lumen carrier family (Gate 1 rescue noted Form 499 relevance; regional LEC filers),5,5,0,clause 2 (adjudicated to treated)
20520,"Frontier Communications Parent, Inc.",4,2,Clause (b): parent of regional Form 499 filer subsidiaries (7/28),4,4,0,clause 2 (adjudicated to treated)
1609711,"GoDaddy.com, LLC",3,2,"Clause (a): registry match ""GoDaddy.com LLC"" [Legal_Name] -> GoDaddy.com LLC (FRN 0025730607, start 2017-04-01, end none)",3,3,0,clause 1 (direct registry match)
1001082,"DISH Network, LLC",2,1,Clause (b) date-conditional (9/4): DISH is a facilities-based CMRS carrier from the 2020-07-01 Boost divestiture — DISH Wireless L.L.C. FRN 0027852722 (dba Boost Mobile) and DISH Wireless Puerto Rico L.L.C. FRN 0029666096 are open family registrations at the breach date; standard coverage rule applies,2,2,0,clause 2 (adjudicated to treated)
1447669,Twilio,2,1,"Clause (a): registry match ""Twilio"" [Legal_Name] -> Twilio Inc (FRN 0020237343, start 2010-10-07, end none)",2,2,0,clause 1 (direct registry match)
1632127,"Cable One, Inc.",2,1,"Clause (a): registry match ""Cable One, Inc."" [Legal_Name] -> Cable One Inc. (FRN 0003474327, start 2006-08-01, end none)",2,2,0,clause 1 (direct registry match)
1702780,Altice USA,2,2,Clause (b): parent of Altice Wireless filer (7/28),2,2,0,clause 2 (adjudicated to treated)
