proxy_date,accession,committee,term,sentence,first_proxy_date
2018-04-26,0001193125-18-134957,Risk and Compliance Committee,information security,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees activities in the areas of risk management and compliance as a means of bringing risk issues to the attention of senior management.,2018-04-26
2018-04-26,0001193125-18-134957,Risk and Compliance Committee,privacy,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees activities in the areas of risk management and compliance as a means of bringing risk issues to the attention of senior management.,2018-04-26
2019-04-26,0001193125-19-122304,Risk and Compliance Committee,information security,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2019-04-26,0001193125-19-122304,Risk and Compliance Committee,privacy,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2020-04-21,0001193125-20-113504,Risk and Compliance Committee,information security,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2020-04-21,0001193125-20-113504,Risk and Compliance Committee,privacy,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2021-04-21,0001193125-21-124685,Risk and Compliance Committee,information security,"Our Information Security and Privacy Council oversees T-Mobile’s privacy and security programs, and our Enterprise Risk and Compliance Committee is responsible for T-Mobile’s risk management and compliance activities.",2018-04-26
2021-04-21,0001193125-21-124685,Risk and Compliance Committee,privacy,"Our Information Security and Privacy Council oversees T-Mobile’s privacy and security programs, and our Enterprise Risk and Compliance Committee is responsible for T-Mobile’s risk management and compliance activities.",2018-04-26
2021-04-21,0001193125-21-124685,Risk and Compliance Committee,information security,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2021-04-21,0001193125-21-124685,Risk and Compliance Committee,privacy,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2021-04-21,0001193125-21-124685,Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
