file,line,text,pattern
scripts\105_complexity_index_heterogeneity.py,12,Mechanism: FCC mandates 7-day disclosure -> complex breach requires,7-day disclosure
scripts\106_information_environment_composite.py,12,"Mechanism: FCC mandates 7-day disclosure -> for firms with weak information environments,",7-day disclosure
scripts\164_essay2_rule_delay_classification.py,13,disclosure deadline (deletion list).,disclosure deadline
scripts\164_essay2_rule_delay_classification.py,258,"PATTERNS = [r'7-Day Rule', r'7-day mandatory', r'[Mm]andatory 7', r'seven-day',",7-Day Rule
scripts\164_essay2_rule_delay_classification.py,259,"r'7-day disclosure', r'disclosure deadline', r'[Dd]isclose within',",7-day disclosure
scripts\164_essay2_rule_delay_classification.py,260,"r'notification within 30 days', r'deadline outruns',",notification within 30 days
scripts\80_essay1_car_regressions.py,503,"f.write(""Notes: FCC-regulated firms subject to mandatory 7-day disclosure.\n"")",[Mm]andatory 7
scripts\99_cvss_complexity_heterogeneity.py,11,Mechanism: FCC mandates 7-day disclosure -> complex breach (high CVSS) requires,7-day disclosure
scripts\99_cvss_complexity_heterogeneity_BROKEN_June22.py,11,Mechanism: FCC mandates 7-day disclosure -> complex breach (high CVSS) requires,7-day disclosure
scripts\99_cvss_complexity_heterogeneity_essay2.py,11,Mechanism: FCC mandates 7-day disclosure -> complex breach (high CVSS) requires,7-day disclosure
scripts\create_regression_tables_word.py,384,- fcc_reportable: Telecom breach subject to FCC 7-day mandatory disclosure rule,7-day mandatory
scripts\h1_comprehensive_power_analysis.py,385,only {immediate_7d/len(analysis_df)*100:.1f}% disclose within 7 days).,[Dd]isclose within
scripts\update_existing_proposal.py,190,"""Only 17.6% of firms disclose within 7 days. This non-compliance puzzle is explained by """,[Dd]isclose within
scripts\update_proposal_documents.py,621,FCC 7-Day Rule Impacts:,7-Day Rule
scripts\update_proposal_documents.py,660,Current Rule: 7-day disclosure mandate (effective 2007),7-day disclosure
outputs\DEAD_DATE_PURGE_INVENTORY.md,12,"""FCC 7-Day Rule (47 CFR 64.2011, effective September 28, 2007)"" → corrected to",7-Day Rule
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,95,scripts\105_complexity_index_heterogeneity.py:12: Mechanism: FCC mandates 7-day disclosure -> complex breach requires,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,96,scripts\106_information_environment_composite.py:12: Mechanism: FCC mandates 7-day disclosure -> for firms with weak inf,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,97,"scripts\80_essay1_car_regressions.py:503: f.write(""Notes: FCC-regulated firms subject to mandatory 7-day disclosure.\n"")",[Mm]andatory 7
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,98,scripts\99_cvss_complexity_heterogeneity.py:11: Mechanism: FCC mandates 7-day disclosure -> complex breach (high CVSS) r,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,99,scripts\99_cvss_complexity_heterogeneity_BROKEN_June22.py:11: Mechanism: FCC mandates 7-day disclosure -> complex breach,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,100,scripts\99_cvss_complexity_heterogeneity_essay2.py:11: Mechanism: FCC mandates 7-day disclosure -> complex breach (high ,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,101,scripts\create_regression_tables_word.py:384: - fcc_reportable: Telecom breach subject to FCC 7-day mandatory disclosure,7-day mandatory
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,102,scripts\h1_comprehensive_power_analysis.py:385: only {immediate_7d/len(analysis_df)*100:.1f}% disclose within 7 days).,[Dd]isclose within
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,103,"scripts\update_existing_proposal.py:190: ""Only 17.6% of firms disclose within 7 days. This non-compliance puzzle is expl",[Dd]isclose within
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,104,scripts\update_proposal_documents.py:621: FCC 7-Day Rule Impacts:,7-Day Rule
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,105,scripts\update_proposal_documents.py:660: Current Rule: 7-day disclosure mandate (effective 2007),7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,106,"outputs\DEAD_DATE_PURGE_INVENTORY.md:12: ""FCC 7-Day Rule (47 CFR 64.2011, effective September 28, 2007)"" → corrected to",7-Day Rule
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,107,outputs\ESSAY2_QUERY4_PARTS_ACJ.md:95: scripts\105_complexity_index_heterogeneity.py:12: Mechanism: FCC mandates 7-day d,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,108,outputs\ESSAY2_QUERY4_PARTS_ACJ.md:96: scripts\106_information_environment_composite.py:12: Mechanism: FCC mandates 7-da,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,109,"outputs\ESSAY2_QUERY4_PARTS_ACJ.md:97: scripts\80_essay1_car_regressions.py:503: f.write(""Notes: FCC-regulated firms sub",[Mm]andatory 7
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,110,outputs\ESSAY2_QUERY4_PARTS_ACJ.md:98: scripts\99_cvss_complexity_heterogeneity.py:11: Mechanism: FCC mandates 7-day dis,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,111,outputs\ESSAY2_QUERY4_PARTS_ACJ.md:99: scripts\99_cvss_complexity_heterogeneity_BROKEN_June22.py:11: Mechanism: FCC mand,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,112,outputs\ESSAY2_QUERY4_PARTS_ACJ.md:100: scripts\99_cvss_complexity_heterogeneity_essay2.py:11: Mechanism: FCC mandates 7,7-day disclosure
outputs\ESSAY2_QUERY4_PARTS_ACJ.md,113,outputs\ESSAY2_QUERY4_PARTS_ACJ.md:101: scripts\build_essay1_appendix_final.py:479: table.rows[2].cells[0].text = 'Post-,7-Day Rule
