step,N,note,treated,control,treated_parent_ciks,treated_corporate_families,pre_rule_treated,pre_rule_control
PRC notification records (master_breach_dataset.xlsx),1054,records; treatment undefined,,,,,,
Gate 1: signed parent CIK,758,records,,,,,,
Stage 3: CIK+date firm-day events,524,events,,,,,,
Gate 2 adjacency collapse,491,events,,,,,,
Stage 4/5 canonical events (CANONICAL_V4),489,equity re-parenting re-collapse (-2),118.0,371.0,14.0,13.0,0.0,7.0
CRSP data (has_crsp_data),414,,111.0,303.0,13.0,12.0,0.0,7.0
"Compustat covariates (size, leverage, ROA) = Query 2 scope",412,Query 1 sample was 411; +1: Sprint Nextel 2009-01-01 (immediate_disclosure missing),109.0,303.0,13.0,12.0,0.0,7.0
Fully observed outcome window (pre-specified censoring rule),412,"removes 0; margin: min 26 days, median 2718 days between the 180d window end and the outcome CIK last filing (tightest: NextGen Healthcare 2023-03-29)",109.0,303.0,13.0,12.0,0.0,7.0
"Outcome-data requirement (>=1 8-K in [t0-730d, t0+180d], outcome CIK)",412,"outcome_cik resolved by rule (scripts/234); 7 events use a CIK other than final_cik: Disney, Google, Paramount x2, Sinclair x3",109.0,303.0,13.0,12.0,0.0,7.0
Prior 12-month market-adjusted return available (>=150 daily returns),405,ANALYSIS SAMPLE,109.0,296.0,13.0,12.0,0.0,7.0
